Date,Volume,Open,Close,High,Low
2025-02-24 - 2025-03-03,20628287,113.585,120.44,124.39,112.04
2025-02-17 - 2025-02-24,54210648,125.155,113.69,125.2999,112
2025-02-11 - 2025-02-18,48289564,126.815,131.34,133.33,122.91
2025-02-03 - 2025-02-10,41411285,117.64,124.16,126.75,112.3
2025-01-27 - 2025-02-03,52316560,105.8,114.27,115.98,104.8
2025-01-20 - 2025-01-27,35462190,109.85,111.91,116.69,107.7
2025-01-14 - 2025-01-21,31680042,108.065,111.34,111.77,101.38
2025-01-06 - 2025-01-13,36205225,95.04,105.57,106.74,94.14
2024-12-30 - 2025-01-06,30599338,101.41,94.68,103.3,94.62
2024-12-26 - 2025-01-02,9464525,95.59,96.82,98.48,95.5
2024-12-23 - 2024-12-30,17059675,96.8,96.99,98.3,94.25
2024-12-16 - 2024-12-23,17816122,99.51,97.45,100.715,96.45
2024-12-09 - 2024-12-16,43793384,100.77,99.51,103.66,97.36
2024-12-02 - 2024-12-09,60244951,108.7,102.27,113.92,99.2
2024-11-25 - 2024-12-02,45257356,96.88,99.89,100.74,96.515
2024-11-18 - 2024-11-25,36653721,99.05,96.56,101.9,95.86
2024-11-11 - 2024-11-18,84516190,116.47,100.07,118.08,98.26
2024-11-04 - 2024-11-11,37245311,118.09,114,118.14,110.01
2024-10-28 - 2024-11-04,45217699,121,117.81,127.27,115.86
2024-10-25 - 2024-11-01,3578955,120,120.56,121.8,119.72
2024-10-21 - 2024-10-28,27775641,123.77,120.59,127.36,117.8
2024-10-14 - 2024-10-21,44655742,122.87,122.47,135.26,120.91
2024-10-07 - 2024-10-14,64285915,140.54,124.62,142.39,122.32
2024-09-30 - 2024-10-07,79929298,154.48,144.76,155.375,138.1
2024-09-24 - 2024-10-01,98961149,134.22,154.27,155.67,133.71
2024-09-23 - 2024-09-30,33855053,141.9,134.81,142.99,133.23
2024-09-16 - 2024-09-23,133688385,100.86,135.38,138.96,100.44
2024-09-09 - 2024-09-16,38508680,94.65,99.9,102,93.99
2024-09-02 - 2024-09-09,52853356,92.28,94.99,99.14,90.2
2024-08-27 - 2024-09-03,53384491,94.99,93.3,98.75,90.16
2024-08-19 - 2024-08-26,253094313,110.2,96.11,111.67,88.01
2024-08-12 - 2024-08-19,44706141,150.355,139.87,152.22,138.14
2024-08-05 - 2024-08-12,36205871,138.04,149.29,150.87,137.1
2024-07-29 - 2024-08-05,29998060,122.35,138.04,139.255,122.0719
2024-07-25 - 2024-08-01,9024218,127.86,127.41,131.46,124.37
2024-07-22 - 2024-07-29,21057054,127.68,128.89,129.72,123.01
2024-07-15 - 2024-07-22,18159056,135.88,130.8,136.77,128
2024-07-08 - 2024-07-15,31754173,137.31,133.04,139.43,130.247
2024-07-01 - 2024-07-08,27957508,135.36,142.42,145.06,133.3825
2024-06-24 - 2024-07-01,19389764,133.55,136.19,138.6,130.05
2024-06-17 - 2024-06-24,39889508,142.06,132.95,144.9576,131.36
2024-06-10 - 2024-06-17,30508428,149.23,143.86,150.45,140.36
2024-06-03 - 2024-06-10,34679714,143.66,148.98,152.9,143.08
2024-05-27 - 2024-06-03,35799781,147.94,143.9,149.88,140.31
2024-05-21 - 2024-05-28,45424103,158.92,149.78,160,145.4
2024-05-13 - 2024-05-20,95454991,147.65,157.57,164.69,144.12
2024-05-06 - 2024-05-13,46438643,139.41,146.19,149.42,136.8
2024-04-29 - 2024-05-06,27792849,141.65,136.27,142.32,135.4
2024-04-24 - 2024-05-01,36461094,125.09,140.18,140.21,122.5601
2024-04-22 - 2024-04-29,11956860,128.53,125.18,129.79,124.53
2024-04-15 - 2024-04-22,51408660,114.05,129.31,130.29,113.36
2024-04-08 - 2024-04-15,30318208,116.88,113.49,116.88,110.65
2024-04-01 - 2024-04-08,27272147,114.72,115.5,122.67,113.84
2024-03-25 - 2024-04-01,24858133,117.9,117.87,121.36,116.17
2024-03-18 - 2024-03-25,36884563,123.5,116.25,124.06,113.84
2024-03-11 - 2024-03-18,97398818,126,122.99,148.2999,120.25
2024-03-04 - 2024-03-11,52772910,114.21,123.74,127.85,111.68
2024-02-26 - 2024-03-04,44774666,126.85,110.34,126.9,108.87
2024-02-23 - 2024-03-01,4476779,126.9,126.85,129.08,126.35
2024-02-19 - 2024-02-26,22848973,123.18,124.54,130.79,121.25
2024-02-13 - 2024-02-20,27030960,135,127.69,135.07,124.18
2024-02-05 - 2024-02-12,28817307,129.09,135.26,139.06,128.15
2024-01-29 - 2024-02-05,34363020,121.8,127.48,129.94,120.2
2024-01-25 - 2024-02-01,11800712,127.22,124.59,129.155,122.25
2024-01-22 - 2024-01-29,50747143,137.08,126.87,137.1114,123.54
2024-01-15 - 2024-01-22,32416930,138.75,141.77,147.34,138.55
2024-01-09 - 2024-01-16,30912914,145.78,143.64,146.35,136
2024-01-01 - 2024-01-08,28740707,144.01,148.63,152.99,143.28
2023-12-26 - 2024-01-02,24242635,143.88,146.53,150.37,141.9
2023-12-19 - 2023-12-26,15423027,146.78,146.31,147.66,142.52
2023-12-11 - 2023-12-18,29661033,147.25,144.48,150.66,139.68
2023-12-04 - 2023-12-11,42277257,138.73,148.35,149.63,137.31
2023-11-27 - 2023-12-04,39068215,141.35,138.96,145.4286,136.22
2023-11-24 - 2023-12-01,9146997,143.32,145.27,146.3,142.44
2023-11-20 - 2023-11-27,73136967,118.7,147.44,147.65,115.83
2023-11-13 - 2023-11-20,26129611,115.99,118.7,120.31,115.4
